Metal;lrs;lifespan;Sexo;Morph;nacimiento;SEX01;MORPH01;prodBIRTHyr;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist
238;1;6;H;B;2017;0;0;2.12;-3.232740274;155;80;51;35.12;360;6;23.81;30;211.44
239;6;6;M;B;2017;1;0;2.12;-3.232740274;149;73;53;35.13;335;0;22.85;31;2046.5
240;4;6;H;B;2017;0;0;2.12;-3.232740274;148;70;47;36.46;440;1;22.68;32;2375.58
241;3;6;H;B;2017;0;0;2.12;-3.232740274;175;96;70;35.49;440;0;27.62;26;2184.05
242;1;2;H;B;2017;0;0;2.12;-3.232740274;214;133;97.5;35.39;525;4;33.39285714;21;NA
243;3;6;H;B;2017;0;0;2.12;-3.232740274;196;113;87;34.09;490;6;30.47077922;26;NA
244;9;5;M;B;2018;1;0;1.53;-1.85072484;166;100;78;36.28;330;3;26;12;490.82
245;3;5;H;B;2018;0;0;1.53;-1.85072484;144;77;53;37.1;350;17;22;21;814.04
246;0;4;H;B;2018;0;0;1.53;-1.85072484;161;86;61;36.89;485;6;25;20;NA
247;1;4;M;B;2018;1;0;1.53;-1.85072484;141;84;63;35.37;390;3;22;20;690.43
248;1;2;H;B;2018;0;0;1.53;-1.85072484;179;106;82;38.25;410;3;28;15;1441.66
249;0;3;H;B;2018;0;0;1.53;-1.85072484;171;95;77;34.86;450;9;26;21;2507.63
250;2;5;H;N;2018;0;1;1.53;-1.85072484;138;66;45;34.26;375;6;21;26;666.85
251;1;4;M;B;2018;1;0;1.53;-1.85072484;191;120;95;35.35;415;8;30;19;193.35
252;3;5;H;B;2018;0;0;1.53;-1.85072484;163;89;64;37.57;465;1;25;25;1765.59
253;2;5;M;B;2018;1;0;1.53;-1.85072484;145;80;56;36.02;405;3;22;28;27.86
254;4;5;H;B;2018;0;0;1.53;-1.85072484;170;94;62;37.1;415;1;26;24;2344.31
255;0;3;M;N;2018;1;1;1.53;-1.85072484;189;107;85;36.41;395;4;29;23;454.21
256;2;5;M;N;2018;1;1;1.53;-1.85072484;164;79;59;37.8;405;1;25;28;96.95
257;2;5;H;B;2018;0;0;1.53;-1.85072484;163;72;52;36.29;385;1;25;28;3564.85
258;3;5;M;B;2018;1;0;1.53;-1.85072484;173;100;69;33.73;380;1;27;26;502.36
259;1;5;M;B;2018;1;0;1.53;-1.85072484;154;73;55;35.34;420;5;24;33;997.14
260;2;5;H;B;2018;0;0;1.53;-1.85072484;203;119;95;36.38;490;2;32;38;921.52
261;1;4;M;B;2019;1;0;1.98;-1.910949707;193;112;88;34.49;405;0;30;11;452.12
262;2;3;M;B;2019;1;0;1.98;-1.910949707;188;108;88;36.48;425;0;29;11;376.49
263;0;4;H;N;2019;0;1;1.98;-1.910949707;148;67;44;36.19;390;0;23;17;9.7
264;1;4;H;B;2019;0;0;1.98;-1.910949707;204;118;95;36.45;495;2;32;11;933.71
265;2;2;H;B;2019;0;0;1.98;-1.910949707;210;127;97;35.49;455;9;33;8;2777.73
266;0;3;M;B;2019;1;0;1.98;-1.910949707;189;110;82;36.74;455;2;29;12;280.57
267;4;4;H;B;2019;0;0;1.98;-1.910949707;198;116;88;34.02;510;4;31;12;1168.27
268;0;3;H;B;2019;0;0;1.98;-1.910949707;202;119;90;35.45;490;6;31;14;1546.28
