OffspringNUM;Sexo;Morph;nacimiento;year;Nido;Ring;location_1;location_9sites;location_3sites;location_4sites;age;breeding;success;SEX01;MORPH01;prod;prodBIRTHyr;wind;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist;avgAGE;deltaAGE;Metal
1;H;B;2009;2018;ECE-2-18;B5C;ECE;ECE;cald;norte;9;SI;1;0;0;1.53;1.68;-1.85072484;-1.245007128;176;101.5;76;36.12;406;0;27.22;19;2070.41;7.333333333;1.666666667;EF_t65xgtph
0;M;B;2009;2013;EL-1-13;B36;EL;EL;rapalobos;norte;4;NO;0;1;0;1.57;1.68;0.290908371;-1.245007128;160;90;63.5;33.19;296;0;24.63;20;145.46;4;0;EF_E7ERE4LV
2;M;N;2009;2015;EN-7-15;B78;EN;EN;norte;norte;6;SI;1;1;1;1.32;1.68;-0.387763242;-1.245007128;162;86.5;60;36.73;415;0;24.95;32;2762.2;8;-2;EF_iUehxDmS
3;M;N;2009;2016;EN-7-16;B78;EN;EN;norte;norte;7;SI;1;1;1;2.11;1.68;-2.954813904;-1.245007128;162;86.5;60;36.73;415;0;24.95;32;2762.2;8;-1;EF_iUehxDmS
2;M;N;2009;2017;EN-10-17;B78;EN;EN;norte;norte;8;SI;1;1;1;2.12;1.68;-3.232740274;-1.245007128;162;86.5;60;36.73;415;0;24.95;32;2762.2;8;0;EF_iUehxDmS
2;M;N;2009;2018;EN-16-18;Bl78;EN;EN;norte;norte;9;SI;1;1;1;1.53;1.68;-1.85072484;-1.245007128;162;86.5;60;36.73;415;0;24.95;32;2762.2;8;1;EF_iUehxDmS
2;M;N;2009;2019;EN-14-19;B78;EN;EN;norte;norte;10;SI;1;1;1;1.98;1.68;-1.910949707;-1.245007128;162;86.5;60;36.73;415;0;24.95;32;2762.2;8;2;EF_iUehxDmS
1;H;B;2009;2018;ECE-8-18;B2J;ECE;ECE;cald;norte;9;SI;1;0;0;1.53;1.68;-1.85072484;-1.245007128;179;92;69;36.42;435;4;NA;19;449.03;9;0;EF_Gbgg63Jy
2;H;B;2009;2017;ECE-12-17;B5M;ECE;ECE;cald;norte;8;SI;1;0;0;2.12;1.68;-3.232740274;-1.245007128;150.5;76;54.5;35.52;350;0;NA;27;3401.57;8.5;-0.5;EF_RJ2JHWJC
2;H;B;2009;2018;ECE-9-18;B5M;ECE;ECE;cald;caldEX;9;SI;1;0;0;1.53;1.68;-1.85072484;-1.245007128;150.5;76;54.5;35.52;350;0;NA;27;3401.57;8.5;0.5;EF_RJ2JHWJC
